|||Sütunlar||||||||||||
|01.13.1. (Yeşil Yapraklı Veya Saplı Sebzeler)|2025|1210.42|1153.97|1196.9|856.25|822.71|774.97|771.21|928.91|1058.94|1328.44|897.37|731.4|
||2026|818.88||||||||||||
|01.13.12.00.01. (Lahana (Beyaz))|2025|1287.32|1541.46|1549.9|||||||1405.66|1088.17|878.09|
||2026|874.0||||||||||||
|01.13.12.00.02. (Lahana (Kırmızı))|2025|2004.46|2020.28|2073.01|||||||1168.1|938.47|669.15|
||2026|679.37||||||||||||
|01.13.13.00.01. (Karnabahar)|2025|1133.44|874.4|1031.23|||||||1771.3|749.96|625.22|
||2026|726.98||||||||||||
|01.13.13.00.02. (Brokoli)|2025|1121.87|998.93|928.71|||||||1708.99|935.07|701.17|
||2026|891.93||||||||||||
|01.13.14.00.01. (Marul (Kıvırcık))|2025|955.33|934.65|977.0|725.53|736.81|682.74|697.74|752.83|976.54|1022.21|857.36|663.9|
||2026|851.32||||||||||||
|01.13.14.00.02. (Marul (Göbekli))|2025|1173.28|1094.5|1041.66|955.08|897.23|865.33|858.34|877.0|995.81|1144.92|982.81|786.25|
||2026|905.87||||||||||||
|01.13.14.00.03. (Marul (İceberg))|2025|1198.93|1109.34|1042.59|958.18|908.59|810.88|813.79|1201.12|1270.56|1206.49|639.03|571.68|
||2026|629.4||||||||||||
|01.13.16.00.00. (Ispanak)|2025|949.6|906.0|820.24|||||||1183.61|797.13|755.18|
||2026|899.17||||||||||||
|01.13.2. (Kavun-Karpuz)|2025||||||789.28|555.15|576.63|574.77|592.92|||
|01.13.21.00.00. (Karpuz)|2025||||||710.29|432.2|517.88|539.99|653.27|||
|01.13.29.00.00. (Kavun)|2025||||||929.41|728.76|644.92|596.54|577.34|||
|01.13.3. (Meyvesi İçin Yetiştirilen Diğer Sebzeler)|2025|989.39|952.03|1156.33|771.79|640.39|568.53|512.22|467.8|460.35|631.81|648.18|966.06|
||2026|1486.7||||||||||||
|01.13.31.00.01. (Biber (Salçalık, Kapya))|2025|1027.17|960.45|1208.28|1106.95|786.2|425.51|349.7|401.44|322.6|352.27|796.91|919.38|
||2026|1137.44||||||||||||
|01.13.31.00.02. (Biber (Dolmalık))|2025|987.15|1420.12|1750.72|924.03|394.62|328.05|404.65|368.84|411.78|637.12|442.05|740.47|
||2026|1498.72||||||||||||
|01.13.31.00.03. (Biber (Sivri))|2025|1382.41|1415.15|1722.09|1025.42|372.96|374.74|418.2|376.05|425.77|489.83|492.69|547.77|
||2026|1170.32||||||||||||
|01.13.32. (Hıyar (Salatalık) Ve Kornişon)|2025|1193.15|1510.88|1671.26|721.66|450.55|416.08|407.62|719.13|770.71|934.44|698.11|1214.4|
||2026|2053.71||||||||||||
|01.13.33.00.00. (Patlıcan)|2025|1432.0|1705.52|1879.08|855.8|521.85|453.38|420.6|460.77|517.35|606.14|669.2|933.83|
||2026|1694.71||||||||||||
|01.13.34. (Domates)|2025|897.14|777.38|962.9|698.5|736.35|649.39|566.66|468.49|471.83|653.9|651.09|992.02|
||2026|1467.9||||||||||||
|01.13.39.00.02. (Kabak (Sakız))|2025|739.07|1000.61|1276.36|974.07|720.41|490.82|455.45|506.96|627.57|754.42|687.86|911.07|
||2026|1483.65||||||||||||
|01.13.4. (Kök, Soğansı Veya Yumru Sebzeler)|2025|924.01|941.5|986.53|1045.9|781.31|592.61|592.19|567.59|582.5|683.9|672.31|676.63|
||2026|711.27||||||||||||
|01.13.41.00.01. (Havuç)|2025|700.84|845.31|1002.35|1331.13|1409.2|1096.94|940.82|627.55|595.22|668.34|537.28|493.21|
||2026|615.72||||||||||||
|01.13.42.00.02. (Sarımsak (Kuru))|2025|653.47|646.1|658.91|663.71|545.0|387.59|396.76|459.28|454.11|495.42|478.7|480.64|
||2026|505.54||||||||||||
|01.13.43.00.01. (Soğan (Taze))|2025|817.93|839.72|829.03|745.87|713.5|730.98|695.02|701.81|775.17|789.37|708.97|706.46|
||2026|959.49||||||||||||
|01.13.43.00.02. (Soğan (Kuru))|2025|1054.23|995.78|1065.39|1136.96|809.92|647.37|632.94|594.62|620.64|617.95|644.93|702.24|
||2026|670.45||||||||||||
|01.13.44.00.01. (Pırasa)|2025|986.27|962.8|994.47|||||||1245.04|1011.53|882.48|
||2026|928.2||||||||||||
|01.13.49.03.02. (Turp (Kırmızı))|2025|1309.85|1323.14|1338.31|||||||1602.91|813.8|793.85|
||2026|755.47||||||||||||
|01.13.5. (Yenilebilir Kök Ve Yumrular, Yüksek Nişasta Veya İnülin İçerenler)|2025|605.31|628.05|775.48|977.44|960.71|784.79|675.76|596.04|636.62|678.22|705.1|733.03|
||2026|797.11||||||||||||
|01.13.51.00.00. (Patates (Tatlı Patates Hariç))|2025|605.31|628.05|775.48|977.44|960.71|784.79|675.76|596.04|636.62|678.22|705.1|733.03|
||2026|797.11||||||||||||
|01.13.7. (Şeker Pancarı Ve Şeker Pancarı Tohumları)|2025|662.85|662.85|662.85|662.85|662.85|801.04|801.04|801.04|801.04|801.04|801.04|801.04|
||2026|801.04||||||||||||
|01.13.71.00.00. (Şeker Pancarı)|2025|662.85|662.85|662.85|662.85|662.85|801.04|801.04|801.04|801.04|801.04|801.04|801.04|
||2026|801.04||||||||||||
|01.15. (Tütün, İşlenmemiş)|2025|522.99|522.99|522.99|522.99|522.99|522.99|768.09|768.09|768.09|768.09|768.09|768.09|
||2026|768.09||||||||||||
|01.15.10.00.00. (Tütün, İşlenmemiş)|2025|522.99|522.99|522.99|522.99|522.99|522.99|768.09|768.09|768.09|768.09|768.09|768.09|
||2026|768.09||||||||||||
|01.16. (Lifli Bitkiler)|2025|661.65|661.91|655.07|669.03|669.58|685.3|691.16|714.96|754.79|768.76|750.58|750.73|
||2026|742.39||||||||||||
|01.16.11.00.01. (Pamuk, Çırçırlanmamış (Kütlü))|2025|661.65|661.91|655.07|669.03|669.58|685.3|691.16|714.96|754.79|768.76|750.58|750.73|
||2026|742.39||||||||||||
|01.2. (Çok Yıllık (Uzun Ömürlü) Bitkisel Ürünler)|2025|732.86|719.71|801.02|906.74|991.82|1498.4|1431.63|1256.19|1311.15|1293.83|1293.38|1276.32|
||2026|1365.63||||||||||||
|01.21. (Üzüm)|2025|||||||1746.78|1382.56|1258.01|1267.94|1404.54||
|01.21.1. (Üzüm)|2025|||||||1746.78|1382.56|1258.01|1267.94|1404.54||
|01.22. (Tropikal Ve Subtropikal Meyveler)|2025|633.0|721.29|810.72|977.47|962.38|716.38|673.58|1559.19|1476.69|1161.45|719.81|757.86|
||2026|709.71||||||||||||
|01.22.12.00.00. (Muz, Plantain Ve Benzerleri)|2025|633.0|721.29|810.72|977.47|962.38|716.38|673.58|672.08|858.03|874.99|719.81|757.86|
||2026|709.71||||||||||||
|01.22.14.00.00. (İncir (Yaş))|2025||||||||1744.26|1714.59|1685.82|||
|01.23. (Turunçgiller)|2025|657.95|681.02|755.34|975.61|||||1047.21|917.63|805.04|738.82|
||2026|961.25||||||||||||
|01.23.11.00.01. (Greyfurt (Altıntop))|2025|549.77|699.25|1413.62|||||||1692.39|1115.97|1003.63|
||2026|897.13||||||||||||
|01.23.12.00.00. (Limon Ve Misket Limonu)|2025|309.49|373.96|569.59||||||1047.21|1129.46|1386.43|1072.37|
||2026|1473.44||||||||||||
|01.23.13. (Portakal)|2025|676.22|761.31|793.3|975.61|||||||1054.15|974.95|
||2026|943.84||||||||||||
|01.23.14.02. (Mandalina)|2025|964.79|987.25||||||||662.27|434.02|407.88|
||2026|531.48||||||||||||
|01.24. (Yumuşak Çekirdekli Meyveler Ve Sert Çekirdekli Meyveler)|2025|948.17|983.3|||1324.77|1959.61|2180.05|1639.51|1795.81|1865.99|1879.89|1987.84|
||2026|1988.39||||||||||||
|01.24.1. (Elma)|2025|948.17|983.3||||||1910.39|2002.55|1895.17|1916.84|1987.84|
||2026|1988.39||||||||||||
|01.24.10. (Elma)|2025|948.17|983.3||||||1910.39|2002.55|1895.17|1916.84|1987.84|
||2026|1988.39||||||||||||
|01.24.2. (Diğer Yumuşak Çekirdekli Meyveler Ve Sert Çekirdekli Meyveler)|2025|||||1324.77|1959.61|2180.05|1529.2|1632.42|1756.9|1737.31||
|01.24.21.00.00. (Armut)|2025|||||||1606.91|1755.74|1749.58|1756.9|1737.31||
|01.24.23.00.01. (Kayısı)|2025|||||844.1|849.5|877.54|916.51|||||
|01.24.24.00.01. (Kiraz)|2025|||||2621.82|3067.77|3472.47||||||
|01.24.25.00.00. (Şeftali)|2025||||||1477.3|1564.52|1493.73|1587.78||||
|01.24.26.00.00. (Nektarin)|2025||||||1022.63|1358.15|1332.34|1333.0||||
|01.24.27.00.00. (Erik)|2025|||||2146.7|1977.1|1745.33|1821.65|1792.7||||
|01.25. (Diğer Ağaç Ve Çalı Meyveleri İle Sert Kabuklu Meyveler)|2025|618.46|633.61|821.44|907.76|937.96|940.02|869.84|957.95|1145.99|1307.76|1300.97|1271.7|
||2026|1278.3||||||||||||
|01.25.1. (Üzümsü Meyveler Ve Yaban Mersini Familyası Meyveleri)|2025|||1663.97|1286.84|1313.15|1276.02|1433.0|1508.71|1547.97|1748.85|||
|01.25.13.00.00. (Çilek)|2025|||1663.97|1286.84|1313.15|1276.02|1433.0|1508.71|1547.97|1748.85|||
|01.25.3. (Sert Kabuklu Meyveler (Yabani Yenilebilir Sert Kabuklu Meyveler, Yerfıstığı Ve Hindistan Cevizi Hariç))|2025|620.43|633.61|645.23|720.42|809.38|856.98|846.17|945.23|1136.05|1275.03|1273.35|1238.73|
||2026|1232.45||||||||||||
|01.25.33.00.00. (Fındık)|2025|562.12|582.77|588.25|673.61|776.48|820.43|783.85|880.18|1192.09|1400.33|1337.12|1240.85|
||2026|1217.65||||||||||||
|01.25.34.00.00. (Şam Fıstığı (Antep Fıstığı))|2025|687.7|694.42|703.4|783.28|879.23|915.08|925.05|1120.11|1171.33|1218.06|1329.0|1343.94|
||2026|1351.14||||||||||||
|01.25.35.00.00. (Ceviz)|2025|682.39|684.78|715.75|758.43|802.16|874.75|903.15|882.36|944.39|1026.09|1034.73|1094.16|
||2026|1113.83||||||||||||
|01.25.9. (Başka Yerde Sınıflandırılmamış Diğer Ağaç Ve Çalı Meyveleri)|2025|598.97||||||||1227.32|1441.25|1500.19|1534.73|
||2026|1731.22||||||||||||
|01.25.90.00.03. (Nar)|2025|598.97||||||||1227.32|1441.25|1500.19|1534.73|
||2026|1731.22||||||||||||
|01.26. (Yağlı Meyveler)|2025|744.44|766.21|765.69|819.71|757.85|780.32|839.35|850.02|851.16|949.53|1122.0|1039.11|
||2026|977.41||||||||||||
|01.26.1. (Zeytin)|2025|744.44|766.21|765.69|819.71|757.85|780.32|839.35|850.02|851.16|949.53|1122.0|1039.11|
||2026|977.41||||||||||||
|01.27. (İçecek Üretiminde Kullanılan Bitkisel Ürünler)|2025|||||792.94|792.94|792.94|792.94|792.94|792.94|||
|01.27.12.00.00. (Çay Yaprakları)|2025|||||792.94|792.94|792.94|792.94|792.94|792.94|||
|01.4. (Canlı Hayvanlar Ve Hayvansal Ürünler)|2025|797.62|844.9|870.85|884.23|889.42|887.75|891.35|906.31|937.34|953.71|974.37|1009.32|
||2026|1049.9||||||||||||
|01.41. (Süt Sığırları (Manda Dahil) (Canlı), Bunlardan Elde Edilen İşlenmemiş Süt)|2025|771.14|827.59|837.63|844.83|848.88|850.89|857.06|862.8|888.72|909.55|948.38|971.77|
||2026|1009.36||||||||||||
|01.41.10. (Süt Sığırları, Canlı)|2025|1143.92|1173.2|1214.97|1254.49|1286.85|1291.53|1315.97|1337.2|1350.98|1392.99|1440.47|1476.25|
||2026|1561.05||||||||||||
|01.41.20.00.01. (Süt, Sığırdan Elde Edilen (Manda Sütü Hariç), İşlenmemiş)|2025|695.68|757.63|761.24|761.91|760.22|761.69|764.17|766.76|795.14|811.69|848.76|869.65|
||2026|897.68||||||||||||
|01.42. (Diğer Sığır, Manda (Süt İçin Yetiştirilenler Hariç) Ve Bizonlar, Canlı Ve Bunların Spermaları)|2025|847.81|894.81|932.46|964.38|989.63|1002.98|998.5|1019.94|1038.86|1055.45|1075.82|1158.04|
||2026|1239.65||||||||||||
|01.42.1. (Diğer Sığır, Manda (Süt İçin Yetiştirilenler Hariç) Ve Bizonlar, Canlı)|2025|847.81|894.81|932.46|964.38|989.63|1002.98|998.5|1019.94|1038.86|1055.45|1075.82|1158.04|
||2026|1239.65||||||||||||
|01.45. (Koyun Ve Keçi, Canlı; Bunların İşlenmemiş Süt Ve Yapağıları)|2025|788.24|821.65|847.39|863.4|890.64|890.77|891.19|902.58|927.0|944.41|955.88|982.84|
||2026|1025.81||||||||||||
|01.45.11. (Koyun, Canlı)|2025|764.61|801.63|829.94|848.81|871.27|870.24|868.22|878.39|906.64|922.51|931.51|960.53|
||2026|1009.31||||||||||||
|01.45.12. (Keçi, Canlı)|2025|867.18|894.56|924.4|955.91|997.53|985.26|988.6|995.9|1020.03|1051.41|1062.98|1089.34|
||2026|1136.38||||||||||||
|01.45.21. (Koyun Sütü, İşlenmemiş)|2025|821.61|845.97|858.75|847.01|873.29|894.46|904.8|927.95|933.22|937.62|960.82|986.42|
||2026|980.81||||||||||||
|01.45.22. (Keçi Sütü, İşlenmemiş)|2025|749.16|771.33|769.3|752.29|817.61|821.56|818.66|829.33|850.03|884.01|901.58|886.9|
||2026|989.9||||||||||||
|01.47. (Canlı Kümes Hayvanları Ve Yumurtalar)|2025|887.11|957.52|1057.71|1044.53|897.35|815.55|836.08|890.48|1014.29|1000.46|948.44|961.6|
||2026|887.84||||||||||||
|01.47.21.00.00. (Tavuk Yumurtası, Kabuklu, Taze)|2025|887.11|957.52|1057.71|1044.53|897.35|815.55|836.08|890.48|1014.29|1000.46|948.44|961.6|
||2026|887.84||||||||||||
|01.49. (Diğer Çiftlik Hayvanları Ve Hayvansal Ürünler)|2025|743.0|757.11|767.1|779.24|789.46|798.43|811.07|855.11|893.4|904.2|927.96|947.9|
||2026|994.31||||||||||||
|01.49.21. (Doğal Bal)|2025|743.0|757.11|767.1|779.24|789.46|798.43|811.07|855.11|893.4|904.2|927.96|947.9|
||2026|994.31||||||||||||
|02. (Orman Ürünleri Ve İlgili Hizmetler)|2025|918.72|981.23|1004.37|1041.61|1123.39|1128.96|1130.49|1113.57|1116.37|1142.61|1161.56|1179.98|
||2026|1349.44||||||||||||
|02.20.11.00.01. (Tomruk (İbreli))|2025|883.9|972.48|1000.44|1038.34|1162.44|1165.94|1121.78|1100.08|1117.6|1162.38|1193.82|1233.11|
||2026|1374.09||||||||||||
|02.20.11.00.03. (Maden Direği (İbreli))|2025|759.57|844.89|893.13|949.41|1039.88|1095.07|1036.35|992.87|983.96|977.13|1008.52|1053.17|
||2026|1187.87||||||||||||
|02.20.11.00.04. (Sanayi Odunu (İbreli))|2025|765.83|839.06|862.56|964.65|1004.23|1061.82|1028.01|952.22|946.24|924.12|954.8|886.54|
||2026|1099.83||||||||||||
|02.20.11.00.05. (Kağıtlık Odun (İbreli))|2025|891.81|986.66|1021.16|1103.1|1151.31|1135.03|1137.22|1075.64|1045.12|1087.8|1129.23|1125.25|
||2026|1355.6||||||||||||
|02.20.11.00.06. (Lif Yonga (İbreli))|2025|1057.85|1042.0|1044.77|1045.18|1053.62|1058.68|1177.39|1201.01|1189.94|1179.35|1163.66|1152.12|
||2026|1360.49||||||||||||
|02.20.14.00.01. (Yakacak Odunlar (İbreli))|2025|832.73|881.08|916.66|987.14|1085.78|1122.13|1066.38|1196.48|1211.34|1220.18|990.33|1124.17|
||2026|1076.41||||||||||||
|03. (Balık Ve Diğer Balıkçılık Ürünleri; Su Ürünleri; Balıkçılık İçin Destekleyici Hizmetler)|2025|847.83|891.95|871.67|948.33|1061.7|1117.48|1143.84|1174.39|1151.4|1172.64|1185.21|1259.33|
||2026|1310.75||||||||||||
|03.00.2. (Balık, Taze Veya Soğutulmuş)|2025|853.59|896.33|874.22|950.85|1063.08|1118.99|1141.97|1176.36|1151.85|1173.89|1191.93|1266.49|
||2026|1317.71||||||||||||
|03.00.21. (Deniz Balıkları, Taze Veya Soğutulmuş (Çiftlik Balıkları Hariç))|2025|720.49|854.33|803.04|906.88|||||973.44|887.41|849.19|983.83|
||2026|1082.14||||||||||||
|03.00.21.00.04. (Bakalorya Ve Berlam, Taze Veya Soğutulmuş (Çiftlik Balıkları Hariç))|2025|1121.7|1113.29|880.33|1310.27|||||1103.7|1296.28|1325.42|1463.82|
||2026|1537.02||||||||||||
|03.00.21.00.05. (Barbunya (Balık), Taze Veya Soğutulmuş (Çiftlik Balıkları Hariç))|2025|1308.78|1300.52|1304.74|1392.91|||||1674.58|1718.06|1274.67|1319.5|
||2026|1499.04||||||||||||
|03.00.21.00.17. (Hamsi, Taze Veya Soğutulmuş (Çiftlik Balıkları Hariç))|2025|628.57|842.12|820.29|893.49|||||662.92|484.8|341.19|641.14|
||2026|792.93||||||||||||
|03.00.21.00.22. (İstavrit (Kraça), Taze Veya Soğutulmuş (Çiftlik Balıkları Hariç))|2025|633.79|829.99|706.58|942.63|||||892.15|920.28|909.03|814.37|
||2026|762.83||||||||||||
|03.00.21.00.23. (İstavrit (Karagöz), Taze Veya Soğutulmuş (Çiftlik Balıkları Hariç))|2025|641.51|717.01|651.61|761.26|||||572.06|620.8|612.52|541.06|
||2026|551.33||||||||||||
|03.00.21.00.29. (Kefal - Deniz Balıkları, Taze Veya Soğutulmuş (Çiftlik Balıkları Hariç))|2025|717.26|790.5|877.09|897.43|||||870.15|950.0|925.62|957.14|
||2026|960.94||||||||||||
|03.00.21.00.40. (Lüfer, Taze Veya Soğutulmuş (Çiftlik Balıkları Hariç))|2025|708.1|721.98|578.48|654.55|||||1046.11|818.29|955.37|1095.02|
||2026|1175.15||||||||||||
|03.00.21.00.43. (Mezgit, Taze Veya Soğutulmuş (Çiftlik Balıkları Hariç))|2025|593.43|737.11|630.15|776.63|||||1094.89|1143.07|1262.29|1380.07|
||2026|1424.4||||||||||||
|03.00.21.00.51. (Palamut Ve Torik, Taze Veya Soğutulmuş (Çiftlik Balıkları Hariç))|2025|633.73|663.19|643.43|499.5|||||1703.59|1951.99|2178.74|2130.57|
||2026|2100.46||||||||||||
|03.00.21.00.53. (Sardalya, Taze Veya Soğutulmuş (Çiftlik Balıkları Hariç))|2025|946.15|968.38|983.92|1142.66|||||1309.93|997.54|1097.4|1109.28|
||2026|1270.04||||||||||||
|03.00.21.00.58. (Tekir, Taze Veya Soğutulmuş (Çiftlik Balıkları Hariç))|2025|1078.62|1213.38|1114.95|1396.51|||||1372.68|1312.63|1145.95|1210.43|
||2026|1440.81||||||||||||
|03.00.22. (Tatlısu Balıkları, Taze Veya Soğutulmuş (Çiftlik Balıkları Hariç))|2025|1315.41|1003.76|788.46|819.75|846.11|850.08|1457.85|1618.96|1664.99|1411.12|1427.0|1606.39|
||2026|1613.99||||||||||||
|03.00.22.00.05. (Gümüş Balığı, İç Su, Taze Veya Soğutulmuş (Çiftlik Balıkları Hariç))|2025|500.11|529.48|431.52|600.54|642.53|679.97|853.91|761.41|745.45|733.71|742.13|750.62|
||2026|764.27||||||||||||
|03.00.22.00.06. (İnci Kefali, Taze Veya Soğutulmuş (Çiftlik Balıkları Hariç))|2025|1764.71|1176.47|882.35|882.35|||1764.71|2058.82|2205.88|1764.71|1764.71|2058.82|
||2026|2058.82||||||||||||
|03.00.22.00.12. (Levrek (Sudak), Taze Veya Soğutulmuş (Çiftlik Balıkları Hariç))|2025|1047.98|1088.63|954.49||1355.87|1533.83|1785.36|1814.37|1639.44|1614.52|1635.64|1599.6|
||2026|1647.54||||||||||||
|03.00.22.00.13. (Sazan, Taze Veya Soğutulmuş (Çiftlik Balıkları Hariç))|2025|713.58|804.0|698.5|773.31|833.19|789.19|967.63|966.04|856.67|872.25|925.54|964.05|
||2026|978.17||||||||||||
|03.00.23. (Deniz Çiftlik Balıkları, Taze Veya Soğutulmuş)|2025|895.49|925.65|917.32|985.96|1128.51|1194.12|1220.57|1247.97|1273.9|1321.64|1364.89|1430.31|
||2026|1462.23||||||||||||
|03.00.23.00.01. (Alabalık (Deniz Balıkları - Yetiştiricilik), Taze Veya Soğutulmuş)|2025|1073.07|1066.52|1063.41|1113.76|1117.97|1061.18|1137.1|1158.19|1199.72|1297.12|1191.2|1198.31|
||2026|1332.65||||||||||||
|03.00.23.00.03. (Çipura (Deniz Balıkları - Yetiştiricilik), Taze Veya Soğutulmuş)|2025|939.3|973.72|940.24|951.84|1087.22|1136.15|1140.34|1142.25|1156.29|1163.86|1269.57|1351.33|
||2026|1381.71||||||||||||
|03.00.23.00.05. (Levrek (Deniz Balıkları - Yetiştiricilik), Taze Veya Soğutulmuş)|2025|844.09|875.3|884.47|996.22|1159.4|1250.72|1287.65|1334.09|1366.84|1437.93|1452.93|1513.12|
||2026|1534.68||||||||||||
|03.00.24. (Tatlısu Çiftlik Balıkları, Taze Veya Soğutulmuş)|2025|809.63|823.55|789.28|869.95|820.59|840.98|829.25|883.68|849.38|899.87|880.94|922.67|
||2026|1000.33||||||||||||
|03.00.24.00.01. (Alabalık (İç Su Balıkları - Yetiştiricilik), Taze Veya Soğutulmuş)|2025|809.63|823.55|789.28|869.95|820.59|840.98|829.25|883.68|849.38|899.87|880.94|922.67|
||2026|1000.33||||||||||||
|03.00.3. (Kabuklular, Dondurulmamış)|2025|521.73|680.64|787.84|865.32|||1849.33|1157.65|1183.39|1158.55|812.75|864.15|
||2026|922.73||||||||||||
|03.00.31.07. (Karides (Denizde Avlanılan), Dondurulmamış (Çiftlikte Yetiştirilenler Hariç))|2025|521.73|680.64|787.84|865.32||||947.2|979.86|933.53|812.75|864.15|
||2026|922.73||||||||||||
|03.00.31.09.00. (Kerevit (İç Sularda Avlanılan), Dondurulmamış (Çiftlikte Yetiştirilenler Hariç))|2025|||||||1849.33|1913.37|1914.26|1966.56|||
|03.00.4. (Yumuşakçalar Ve Diğer Suda Yaşayan Omurgasızlar, Canlı, Taze Veya Soğutulmuş)|2025|644.82|652.6|639.8|717.29|787.53|814.88|849.26|852.2|902.01|929.87|930.67|983.9|
||2026|1053.8||||||||||||
|03.00.42.01.00. (Ahtapot, Canlı, Taze Veya Soğutulmuş (Çiftlikte Yetiştirilenler Hariç))|2025|639.41|619.0|616.57|685.41|||||||1007.92|1115.64|
||2026|1174.44||||||||||||
|03.00.42.03.00. (Kalamerya, Canlı, Taze Veya Soğutulmuş (Çiftlikte Yetiştirilenler Hariç))|2025|691.24|715.05|685.65|803.28|800.21|828.63|913.39|903.21|941.29|965.68|927.39|960.78|
||2026|1065.3||||||||||||
|03.00.42.04.00. (Mürekkep Balığı, Canlı, Taze Veya Soğutulmuş (Çiftlikte Yetiştirilenler Hariç))|2025|517.39|519.36|506.65|528.73|683.07|678.29|664.15|658.46|717.96|749.4|728.76|754.05|
||2026|776.3||||||||||||
